"","State","Lake.Name","Scientific.Name","Common.Name","Family","Niche","Analyte","Amount","Unit.1","Unit.2"
"138","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorooctanesulfonate (PFOS)",28,"ng/g","ppb"
"139","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorooctane sulfonamide (PFOSA)",0.21,"ng/g","ppb"
"140","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorononanoate (PFNA)",0.94,"ng/g","ppb"
"141","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorodecanoate (PFDA)",0.63,"ng/g","ppb"
"142","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluoroundecanoate (PFUnA)",2.4,"ng/g","ppb"
"143","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorododecanoate (PFDoA)",0.57,"ng/g","ppb"
"144","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorobutanoate (PFBA)",NA,"ng/g","ppb"
"145","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorobutane sulfonate (PFBS)",NA,"ng/g","ppb"
"146","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluoropentanoate (PFPeA)",0.42,"ng/g","ppb"
"147","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorohexanoate (PFHxA)",0.26,"ng/g","ppb"
"148","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorohexane sulfonate (PFHxS)",2,"ng/g","ppb"
"149","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluoroheptanoate (PFHpA)",NA,"ng/g","ppb"
"150","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorooctanoate (PFOA)",NA,"ng/g","ppb"
"151","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorooctanesulfonate (PFOS)",5.2,"ng/g","ppb"
"152","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorooctane sulfonamide (PFOSA)",NA,"ng/g","ppb"
"153","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorononanoate (PFNA)",0.54,"ng/g","ppb"
"154","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorodecanoate (PFDA)",0.58,"ng/g","ppb"
"155","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluoroundecanoate (PFUnA)",0.61,"ng/g","ppb"
"156","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorododecanoate (PFDoA)",0.23,"ng/g","ppb"
"157","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Perfluorobutanoate (PFBA)",NA,"ng/g","ppb"
"158","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Perfluorobutane sulfonate (PFBS)",NA,"ng/g","ppb"
"159","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Perfluoropentanoate (PFPeA)",0.31,"ng/g","ppb"
"160","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Perfluorohexanoate (PFHxA)",NA,"ng/g","ppb"
"161","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Perfluorohexane sulfonate (PFHxS)",0.23,"ng/g","ppb"
"162","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Perfluoroheptanoate (PFHpA)",NA,"ng/g","ppb"
"163","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Perfluorooctanoate (PFOA)",NA,"ng/g","ppb"
"164","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Perfluorooctanesulfonate (PFOS)",4.8,"ng/g","ppb"
"165","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Perfluorooctane sulfonamide (PFOSA)",0.2,"ng/g","ppb"
"166","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Perfluorononanoate (PFNA)",4.2,"ng/g","ppb"
"167","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Perfluorodecanoate (PFDA)",4.2,"ng/g","ppb"
"168","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Perfluoroundecanoate (PFUnA)",9.3,"ng/g","ppb"
"169","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Perfluorododecanoate (PFDoA)",2.2,"ng/g","ppb"
"170","MI","Lake Superior","Salvelinus fontinalis X Salvelinus namaycush","Splake","Salmonidae","P","Perfluorobutanoate (PFBA)",NA,"ng/g","ppb"
"171","MI","Lake Superior","Salvelinus fontinalis X Salvelinus namaycush","Splake","Salmonidae","P","Perfluorobutane sulfonate (PFBS)",NA,"ng/g","ppb"
"172","MI","Lake Superior","Salvelinus fontinalis X Salvelinus namaycush","Splake","Salmonidae","P","Perfluoropentanoate (PFPeA)",NA,"ng/g","ppb"
"173","MI","Lake Superior","Salvelinus fontinalis X Salvelinus namaycush","Splake","Salmonidae","P","Perfluorohexanoate (PFHxA)",NA,"ng/g","ppb"
"174","MI","Lake Superior","Salvelinus fontinalis X Salvelinus namaycush","Splake","Salmonidae","P","Perfluorohexane sulfonate (PFHxS)",NA,"ng/g","ppb"
