"","State","Lake","Scientific.Name","Common.Name","Family","Niche","Analyte","Amount","Unit.1","Unit.2","Year"
"104","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorooctane sulfonamide (PFOSA)",NA,"ng/g","ppb",2015
"105","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorobutanoate (PFBA)",NA,"ng/g","ppb",2015
"106","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluoropentanoate (PFPeA)",NA,"ng/g","ppb",2015
"107","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorohexanoate (PFHxA)",NA,"ng/g","ppb",2015
"108","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluoroheptanoate (PFHpA)",NA,"ng/g","ppb",2015
"109","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorooctanoate (PFOA)",NA,"ng/g","ppb",2015
"110","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorononanoate (PFNA)",NA,"ng/g","ppb",2015
"111","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorodecanoate (PFDA)",0.68,"ng/g","ppb",2015
"112","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluoroundecanoate (PFUnA)",1.67,"ng/g","ppb",2015
"113","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorododecanoate (PFDoA)",0.47,"ng/g","ppb",2015
"114","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorobutane sulfonate (PFBS)",NA,"ng/g","ppb",2015
"115","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorohexane sulfonate (PFHxS)",NA,"ng/g","ppb",2015
"116","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorooctanesulfonate (PFOS)",4.71,"ng/g","ppb",2015
"117","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorooctane sulfonamide (PFOSA)",0.53,"ng/g","ppb",2015
"118","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorobutanoate (PFBA)",NA,"ng/g","ppb",2015
"119","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluoropentanoate (PFPeA)",NA,"ng/g","ppb",2015
"120","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorohexanoate (PFHxA)",NA,"ng/g","ppb",2015
"121","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluoroheptanoate (PFHpA)",NA,"ng/g","ppb",2015
"122","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorooctanoate (PFOA)",0.24,"ng/g","ppb",2015
"123","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorononanoate (PFNA)",0.56,"ng/g","ppb",2015
"124","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorodecanoate (PFDA)",1.28,"ng/g","ppb",2015
"125","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluoroundecanoate (PFUnA)",2.67,"ng/g","ppb",2015
"126","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorododecanoate (PFDoA)",0.54,"ng/g","ppb",2015
"127","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorobutane sulfonate (PFBS)",NA,"ng/g","ppb",2015
"128","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorohexane sulfonate (PFHxS)",NA,"ng/g","ppb",2015
"129","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorooctanesulfonate (PFOS)",8.77,"ng/g","ppb",2015
"130","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorooctane sulfonamide (PFOSA)",NA,"ng/g","ppb",2015
"131","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Perfluorobutanoate (PFBA)",NA,"ng/g","ppb",2015
"132","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Perfluoropentanoate (PFPeA)",NA,"ng/g","ppb",2015
"133","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Perfluorohexanoate (PFHxA)",NA,"ng/g","ppb",2015
"134","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Perfluoroheptanoate (PFHpA)",NA,"ng/g","ppb",2015
"135","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Perfluorooctanoate (PFOA)",NA,"ng/g","ppb",2015
"136","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Perfluorononanoate (PFNA)",0.34,"ng/g","ppb",2015
"137","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Perfluorodecanoate (PFDA)",0.49,"ng/g","ppb",2015
"138","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Perfluoroundecanoate (PFUnA)",0.59,"ng/g","ppb",2015
"139","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Perfluorododecanoate (PFDoA)",0.16,"ng/g","ppb",2015
"140","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Perfluorobutane sulfonate (PFBS)",NA,"ng/g","ppb",2015
"141","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Perfluorohexane sulfonate (PFHxS)",NA,"ng/g","ppb",2015
"142","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Perfluorooctanesulfonate (PFOS)",5.85,"ng/g","ppb",2015
"143","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Perfluorooctane sulfonamide (PFOSA)",NA,"ng/g","ppb",2015
"144","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Perfluorobutanoate (PFBA)",NA,"ng/g","ppb",2015
"145","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Perfluoropentanoate (PFPeA)",NA,"ng/g","ppb",2015
"146","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Perfluorohexanoate (PFHxA)",NA,"ng/g","ppb",2015
"147","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Perfluoroheptanoate (PFHpA)",NA,"ng/g","ppb",2015
"148","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Perfluorooctanoate (PFOA)",NA,"ng/g","ppb",2015
"149","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Perfluorononanoate (PFNA)",0.87,"ng/g","ppb",2015
"150","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Perfluorodecanoate (PFDA)",1.62,"ng/g","ppb",2015
"151","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Perfluoroundecanoate (PFUnA)",2.35,"ng/g","ppb",2015
"152","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Perfluorododecanoate (PFDoA)",0.49,"ng/g","ppb",2015
"153","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Perfluorobutane sulfonate (PFBS)",NA,"ng/g","ppb",2015
"154","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Perfluorohexane sulfonate (PFHxS)",NA,"ng/g","ppb",2015
"155","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Perfluorooctanesulfonate (PFOS)",17.5,"ng/g","ppb",2015
"156","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Perfluorooctane sulfonamide (PFOSA)",0.16,"ng/g","ppb",2015
"157","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorobutanoate (PFBA)",NA,"ng/g","ppb",2015
"158","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluoropentanoate (PFPeA)",NA,"ng/g","ppb",2015
"159","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorohexanoate (PFHxA)",NA,"ng/g","ppb",2015
"160","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluoroheptanoate (PFHpA)",NA,"ng/g","ppb",2015
"161","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorooctanoate (PFOA)",NA,"ng/g","ppb",2015
"162","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorononanoate (PFNA)",0.29,"ng/g","ppb",2015
"163","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorodecanoate (PFDA)",1.8,"ng/g","ppb",2015
"164","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluoroundecanoate (PFUnA)",4.12,"ng/g","ppb",2015
"165","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorododecanoate (PFDoA)",1.22,"ng/g","ppb",2015
"166","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorobutane sulfonate (PFBS)",NA,"ng/g","ppb",2015
"167","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorohexane sulfonate (PFHxS)",NA,"ng/g","ppb",2015
"168","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorooctanesulfonate (PFOS)",17.5,"ng/g","ppb",2015
"169","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Perfluorooctane sulfonamide (PFOSA)",0.35,"ng/g","ppb",2015
"170","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorobutanoate (PFBA)",NA,"ng/g","ppb",2015
"171","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluoropentanoate (PFPeA)",NA,"ng/g","ppb",2015
"172","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorohexanoate (PFHxA)",NA,"ng/g","ppb",2015
"173","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluoroheptanoate (PFHpA)",NA,"ng/g","ppb",2015
"174","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorooctanoate (PFOA)",NA,"ng/g","ppb",2015
"175","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorononanoate (PFNA)",0.73,"ng/g","ppb",2015
"176","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorodecanoate (PFDA)",0.7,"ng/g","ppb",2015
"177","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluoroundecanoate (PFUnA)",1.45,"ng/g","ppb",2015
"178","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorododecanoate (PFDoA)",0.49,"ng/g","ppb",2015
"179","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorobutane sulfonate (PFBS)",NA,"ng/g","ppb",2015
"180","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorohexane sulfonate (PFHxS)",NA,"ng/g","ppb",2015
"181","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorooctanesulfonate (PFOS)",9.74,"ng/g","ppb",2015
"182","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorooctane sulfonamide (PFOSA)",NA,"ng/g","ppb",2015
"183","MI","Lake Huron","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Perfluorobutanoate (PFBA)",NA,"ng/g","ppb",2015
"184","MI","Lake Huron","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Perfluoropentanoate (PFPeA)",NA,"ng/g","ppb",2015
"185","MI","Lake Huron","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Perfluorohexanoate (PFHxA)",NA,"ng/g","ppb",2015
"186","MI","Lake Huron","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Perfluoroheptanoate (PFHpA)",NA,"ng/g","ppb",2015
"187","MI","Lake Huron","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Perfluorooctanoate (PFOA)",NA,"ng/g","ppb",2015
"188","MI","Lake Huron","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Perfluorononanoate (PFNA)",0.32,"ng/g","ppb",2015
"189","MI","Lake Huron","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Perfluorodecanoate (PFDA)",0.39,"ng/g","ppb",2015
"190","MI","Lake Huron","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Perfluoroundecanoate (PFUnA)",0.42,"ng/g","ppb",2015
