EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,CAS Number,Amount,Unit 1,Unit 2,MDL,QL
5,MI,Lake Michigan,GLNS15-2047,776234,776234.1,Perca flavescens,Yellow perch,Percidae,P,Mercury,7439-97-6,87.3,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-2050,795234,795234.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,148.0,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-2052,794494,794494.1,Sander vitreus,Walleye,Percidae,P,Mercury,7439-97-6,514.0,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-2053,780174,780174.1,Sander vitreus,Walleye,Percidae,P,Mercury,7439-97-6,168.0,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-2054,776874,776874.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,154.0,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-2055,807874,807874.1,Catostomus commersonii,White sucker,Catostomidae,BD,Mercury,7439-97-6,58.5,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-2056,776934,776934.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Mercury,7439-97-6,133.0,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-2057,814554,814554.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,107.0,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-2061,795674,795674.1,Perca flavescens,Yellow perch,Percidae,P,Mercury,7439-97-6,131.0,ng/g,ppb,0.05,0.8
5,MI,Lake Huron,GLNS15-2093,807354,807354.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Mercury,7439-97-6,130.0,ng/g,ppb,0.05,0.8
